filepath,filename,extension,label,consider_flag,filesize,imports_map
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/app.profile,app,.profile,Other,False,1588516,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/.DS_Store,.DS_Store,,Other,False,6148,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/requirements.txt,requirements,.txt,Dependency Management,False,2384,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/.gitignore,.gitignore,,Other,False,283,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/app.py,app,.py,Code,True,12784,"[{'alias': '', 'module': 'flask', 'functions': 'Flask, request, jsonify', 'importpath': 'flask/Flask, request, jsonify', 'codeline': 'from flask import Flask, request, jsonify', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'celery', 'functions': 'Celery, chain, group', 'importpath': 'celery/Celery, chain, group', 'codeline': 'from celery import Celery, chain, group', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'os', 'functions': '', 'importpath': 'os', 'codeline': 'import os', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'scripts', 'functions': 'ingest_repo, ingest_docs, compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_imports_map, compile_dependancy_map, compile_repo_code, upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, upsert_RepoMasterDocs, delete_entries_by_git_url, user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival, # Status update related imports dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'importpath': 'scripts/ingest_repo, ingest_docs, compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_imports_map, compile_dependancy_map, compile_repo_code, upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, upsert_RepoMasterDocs, delete_entries_by_git_url, user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival, # Status update related imports dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'codeline': 'from scripts import ingest_repo, ingest_docs, compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_imports_map, compile_dependancy_map, compile_repo_code, upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, upsert_RepoMasterDocs, delete_entries_by_git_url, user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival, # Status update related imports dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'import_path_clean': 'scripts/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': 'scripts.utils', 'functions': 'retreive_file_contents, send_email_to_admin', 'importpath': 'scripts/utils/retreive_file_contents, send_email_to_admin', 'codeline': 'from scripts.utils import retreive_file_contents, send_email_to_admin', 'import_path_clean': 'scripts/utils.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': 'scripts.retreival.retreivalpipeline', 'functions': 'retreive_docs_test', 'importpath': 'scripts/retreival/retreivalpipeline/retreive_docs_test', 'codeline': 'from scripts.retreival.retreivalpipeline import retreive_docs_test', 'import_path_clean': 'scripts/retreival/retreivalpipeline.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': 'weaviate', 'functions': '', 'importpath': 'weaviate', 'codeline': 'import weaviate', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'concurrent.futures', 'functions': 'ThreadPoolExecutor, as_completed', 'importpath': 'concurrent/futures/ThreadPoolExecutor, as_completed', 'codeline': 'from concurrent.futures import ThreadPoolExecutor, as_completed', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'dotenv', 'functions': 'load_dotenv', 'importpath': 'dotenv/load_dotenv', 'codeline': 'from dotenv import load_dotenv', 'import_path_clean': '', 'import_type': 'Other Imports'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/.DS_Store,.DS_Store,,Other,False,6148,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/__init__.py,__init__,.py,Code,True,1106,"[{'alias': '', 'module': '.dataingestion', 'functions': 'ingest_repo, ingest_docs, update_downloaded_sites, move_downloaded_site', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataingestion/ingest_repo, ingest_docs, update_downloaded_sites, move_downloaded_site', 'codeline': 'from .dataingestion import ingest_repo, ingest_docs, update_downloaded_sites, move_downloaded_site', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataingestion/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.customloaders', 'functions': 'file_doc_loader, WebDocsLoader, web_docs_loader, master_docs_loader', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/customloaders/file_doc_loader, WebDocsLoader, web_docs_loader, master_docs_loader', 'codeline': 'from .customloaders import file_doc_loader, WebDocsLoader, web_docs_loader, master_docs_loader', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/customloaders/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.fluffycontext', 'functions': 'compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_repo_code', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_repo_code', 'codeline': 'from .fluffycontext import compile_commit_history, compile_file_docs, compile_downloaded_docs, compile_repo_code', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.parsers', 'functions': 'JavaScriptParser, PythonParser, python_imports_mapper, js_imports_mapper, python_init_to_filemapper, compile_imports_map, compile_dependancy_map', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/parsers/JavaScriptParser, PythonParser, python_imports_mapper, js_imports_mapper, python_init_to_filemapper, compile_imports_map, compile_dependancy_map', 'codeline': 'from .parsers import JavaScriptParser, PythonParser, python_imports_mapper, js_imports_mapper, python_init_to_filemapper, compile_imports_map, compile_dependancy_map', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/parsers/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.dataupsert', 'functions': 'upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'codeline': 'from .dataupsert import upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.taskstatus', 'functions': 'dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/taskstatus/dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'codeline': 'from .taskstatus import dbops_helper_get_github_repo_info, dbops_initialize_db, dbops_create_first_entry, dbops_get_ingestion_status, dbops_update_task_status, dbops_bulk_retrieve_repos, dbops_delete_all_entries, dbops_get_all_ingestion_status', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/taskstatus/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': '.retreival', 'functions': 'user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/retreival/user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival', 'codeline': 'from .retreival import user_query_rewriter, retreive_docs, prompt_downloadLinks, prompt_documentation, prompt_code, prompt_retreival', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/retreival/__init__.py', 'import_type': 'Init.py imports'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils.py,utils,.py,Code,True,5689,"[{'alias': '', 'module': 'os', 'functions': '', 'importpath': 'os', 'codeline': 'import os', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'pathlib', 'functions': 'Path', 'importpath': 'pathlib/Path', 'codeline': 'from pathlib import Path', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'urllib.parse', 'functions': 'urlparse', 'importpath': 'urllib/parse/urlparse', 'codeline': 'from urllib.parse import urlparse', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'hashlib', 'functions': '', 'importpath': 'hashlib', 'codeline': 'import hashlib', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'json', 'functions': '', 'importpath': 'json', 'codeline': 'import json', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'datetime', 'functions': 'datetime', 'importpath': 'datetime/datetime', 'codeline': 'from datetime import datetime', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'logging', 'functions': '', 'importpath': 'logging', 'codeline': 'import logging', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'resend', 'functions': '', 'importpath': 'resend', 'codeline': 'import resend', 'import_path_clean': '', 'import_type': 'Other Imports'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/__init__.py,__init__,.py,Code,True,209,"[{'alias': '', 'module': '.upserthelpers', 'functions': 'upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/upserthelpers/upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'codeline': 'from .upserthelpers import upsert_FluffyContextDocs, upsert_RepoDocs, upsert_FluffyContextDownloads, upsert_FluffyContextCommitHistory, upsert_FluffyContextCode, delete_entries_by_git_url,upsert_RepoMasterDocs', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/upserthelpers.py', 'import_type': 'Entity within Python File Import'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/dataupsert/upserthelpers.py,upserthelpers,.py,Code,True,20109,"[{'alias': '', 'module': '..utils', 'functions': 'get_current_time_formatted, get_repo_name, doc_type_classifier,get_repo_fluffycontext_path, get_repo_dependencies_path, current_script_dir', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils/get_current_time_formatted, get_repo_name, doc_type_classifier,get_repo_fluffycontext_path, get_repo_dependencies_path, current_script_dir', 'codeline': 'from ..utils import get_current_time_formatted, get_repo_name, doc_type_classifier,get_repo_fluffycontext_path, get_repo_dependencies_path, current_script_dir', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils.py', 'import_type': 'Entity within Python File Import'}, {'alias': 'pd', 'module': 'pandas', 'functions': '', 'importpath': 'pandas', 'codeline': 'import pandas as pd', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'scripts', 'functions': 'file_doc_loader, web_docs_loader, master_docs_loader', 'importpath': 'scripts/file_doc_loader, web_docs_loader, master_docs_loader', 'codeline': 'from scripts import file_doc_loader, web_docs_loader, master_docs_loader', 'import_path_clean': 'scripts/__init__.py', 'import_type': 'Init.py imports'}, {'alias': '', 'module': 'pathlib', 'functions': 'Path', 'importpath': 'pathlib/Path', 'codeline': 'from pathlib import Path', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'logging', 'functions': '', 'importpath': 'logging', 'codeline': 'import logging', 'import_path_clean': '', 'import_type': 'Python Std Lib'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/.DS_Store,.DS_Store,,Other,False,6148,
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repodocs.py,repodocs,.py,Code,True,22809,"[{'alias': '', 'module': 're', 'functions': '', 'importpath': 're', 'codeline': 'import re', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'subprocess', 'functions': '', 'importpath': 'subprocess', 'codeline': 'import subprocess', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'bs4', 'functions': 'BeautifulSoup', 'importpath': 'bs4/BeautifulSoup', 'codeline': 'from bs4 import BeautifulSoup', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'markdown', 'functions': '', 'importpath': 'markdown', 'codeline': 'import markdown', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'logging', 'functions': '', 'importpath': 'logging', 'codeline': 'import logging', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': 'pd', 'module': 'pandas', 'functions': '', 'importpath': 'pandas', 'codeline': 'import pandas as pd', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': '..utils', 'functions': 'get_repo_fluffycontext_path, get_repo_dependencies_path, get_repo_name, safe_folder_name_url, current_script_dir, get_masterList_path, get_masterDocs_path, get_masterDocsDirectory_path,get_repo_shortname', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils/get_repo_fluffycontext_path, get_repo_dependencies_path, get_repo_name, safe_folder_name_url, current_script_dir, get_masterList_path, get_masterDocs_path, get_masterDocsDirectory_path,get_repo_shortname', 'codeline': 'from ..utils import get_repo_fluffycontext_path, get_repo_dependencies_path, get_repo_name, safe_folder_name_url, current_script_dir, get_masterList_path, get_masterDocs_path, get_masterDocsDirectory_path,get_repo_shortname', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': 'tiktoken', 'functions': '', 'importpath': 'tiktoken', 'codeline': 'import tiktoken', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'pathlib', 'functions': 'Path', 'importpath': 'pathlib/Path', 'codeline': 'from pathlib import Path', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'langchain.text_splitter', 'functions': 'RecursiveCharacterTextSplitter', 'importpath': 'langchain/text_splitter/RecursiveCharacterTextSplitter', 'codeline': 'from langchain.text_splitter import RecursiveCharacterTextSplitter', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'time', 'functions': '', 'importpath': 'time', 'codeline': 'import time', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'openai', 'functions': '', 'importpath': 'openai', 'codeline': 'import openai', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': 'gd', 'module': 'guardrails', 'functions': '', 'importpath': 'guardrails', 'codeline': 'import guardrails as gd', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'ast', 'functions': '', 'importpath': 'ast', 'codeline': 'import ast', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'os', 'functions': '', 'importpath': 'os', 'codeline': 'import os', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'json', 'functions': '', 'importpath': 'json', 'codeline': 'import json', 'import_path_clean': '', 'import_type': 'Python Std Lib'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repocode.py,repocode,.py,Code,True,11052,"[{'alias': '', 'module': 'pathlib', 'functions': 'Path', 'importpath': 'pathlib/Path', 'codeline': 'from pathlib import Path', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': 'pd', 'module': 'pandas', 'functions': '', 'importpath': 'pandas', 'codeline': 'import pandas as pd', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'collections', 'functions': 'defaultdict', 'importpath': 'collections/defaultdict', 'codeline': 'from collections import defaultdict', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'ast', 'functions': '', 'importpath': 'ast', 'codeline': 'import ast', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': '..utils', 'functions': 'get_repo_dependencies_path,current_script_dir,get_repo_fluffycontext_path,retreive_file_contents', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils/get_repo_dependencies_path,current_script_dir,get_repo_fluffycontext_path,retreive_file_contents', 'codeline': 'from ..utils import get_repo_dependencies_path,current_script_dir,get_repo_fluffycontext_path,retreive_file_contents', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/utils.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': 'logging', 'functions': '', 'importpath': 'logging', 'codeline': 'import logging', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'os', 'functions': '', 'importpath': 'os', 'codeline': 'import os', 'import_path_clean': '', 'import_type': 'Python Std Lib'}, {'alias': '', 'module': 'dotenv', 'functions': 'load_dotenv', 'importpath': 'dotenv/load_dotenv', 'codeline': 'from dotenv import load_dotenv', 'import_path_clean': '', 'import_type': 'Other Imports'}, {'alias': '', 'module': 'openai', 'functions': '', 'importpath': 'openai', 'codeline': 'import openai', 'import_path_clean': '', 'import_type': 'Other Imports'}]"
/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/__init__.py,__init__,.py,Code,True,151,"[{'alias': '', 'module': '.repochanges', 'functions': 'compile_commit_history', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repochanges/compile_commit_history', 'codeline': 'from .repochanges import compile_commit_history', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repochanges.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': '.repodocs', 'functions': 'compile_file_docs,compile_downloaded_docs', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repodocs/compile_file_docs,compile_downloaded_docs', 'codeline': 'from .repodocs import compile_file_docs,compile_downloaded_docs', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repodocs.py', 'import_type': 'Entity within Python File Import'}, {'alias': '', 'module': '.repocode', 'functions': 'compile_repo_code', 'importpath': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repocode/compile_repo_code', 'codeline': 'from .repocode import compile_repo_code', 'import_path_clean': '/Users/avinaash/Documents/PersonalProjects/Hacks/fluffyMigrate/repos/ed59ab8a-de9f-4f0b-9e06-3e6b0065b2a2/scripts/fluffycontext/repocode.py', 'import_type': 'Entity within Python File Import'}]"
